GlobalWindow,PhysicalFrame,WindowInFrame,Time_ms,Range_m,AliasedVelocity_mps,RelativeStrength_dB,RangeBin
1,178,1,0.09,3.80795909015164,61.9902877807617,7.43818807601929,40
1,178,1,0.09,5.17491876353941,74.6413650512695,6.76000960667928,54
1,178,1,0.09,3.0268392767872,-53.1345329284668,5.9588680267334,32
1,178,1,0.09,1.46459965005832,32.8928070068359,4.45350615183512,16
1,178,1,0.09,2.05043951008165,-30.3625888824463,3.20619614919027,22
2,178,2,0.282,2.63627937010498,-31.6276969909668,5.09340763092041,28
2,178,2,0.282,0.878759790034994,63.2553939819336,4.49627510706584,10
2,178,2,0.282,4.39379895017497,-75.9064712524414,4.42715946833293,46
2,178,2,0.282,3.51503916013998,72.1111526489258,3.97455024719238,37
2,178,2,0.282,3.9055990668222,-63.2553939819336,3.8204714457194,41
3,178,3,0.474,1.9527995334111,-21.5068340301514,6.60383780797323,21
3,178,3,0.474,4.9796388101983,21.5068340301514,6.17584069569906,52
3,178,3,0.474,2.73391934677554,-67.0507202148438,5.66847769419352,29
3,178,3,0.474,3.80795909015164,64.5205001831055,5.22444661458333,40
3,178,3,0.474,0.976399766705549,-63.2553939819336,3.0872483253479,11
4,178,4,0.666,0.488199883352775,-68.3158264160156,7.04103453954061,6
4,178,4,0.666,4.58907890351608,67.0507202148438,5.49189821879069,48
4,178,4,0.666,2.44099941676387,40.4834518432617,5.43688853581746,26
4,178,4,0.666,5.17491876353941,-31.6276969909668,5.1734889348348,54
4,178,4,0.666,1.56223962672888,-51.8694229125977,4.37282276153564,17
5,178,5,0.858,2.05043951008165,73.3762588500977,5.26660839716593,22
5,178,5,0.858,3.0268392767872,21.5068340301514,5.25484434763591,32
5,178,5,0.858,2.63627937010498,-21.5068340301514,5.22828578948975,28
5,178,5,0.858,4.9796388101983,21.5068340301514,4.79000870386759,52
5,178,5,0.858,0.976399766705549,32.8928070068359,4.03492641448975,11
6,178,6,1.05,0.488199883352775,-21.5068340301514,13.6408843994141,6
6,178,6,1.05,3.80795909015164,21.5068340301514,11.0665219624837,40
6,178,6,1.05,2.34335944009332,-74.6413650512695,5.82602945963542,25
