GlobalWindow,PhysicalFrame,WindowInFrame,Time_ms,Range_m,AliasedVelocity_mps,RelativeStrength_dB,RangeBin,FittedRange_m,FitResidual_m,ExpectedAliasedVelocity_mps,CircularVelocityResidual_mps,AmbiguityNumber,UnwrappedVelocity_mps,MeasuredSpeed_mps,MeasuredSpeedResidual_mps,DistanceFitSpeedResidual_mps,GlobalUnwrapPathCost,RangeVelocityCouplingMagnitude_m,CorrectedRange_m
19,179,3,3.974,1.75751958006999,-60.7251777648926,31.6873709360758,19,2.06776365170246,-0.310244071632473,-74.3201486465266,13.594970881634,3,425.076258321153,432.09819,-7.02193167884678,13.594970881634,33.2440771447571,0.546783871600845,1.75751958006999
20,179,4,4.166,2.53863939343443,-58.1949653625488,31.5997009277344,27,2.14676805889085,0.391871334543579,-74.3201486465266,16.1251832839778,3,427.606470723497,432.09819,-4.49171927650303,16.1251832839778,33.2440771447571,0.550038533102737,2.53863939343443
21,179,5,4.358,2.44099941676387,-59.4600715637207,33.3612174987793,26,2.22577246607924,0.215226950684636,-74.3201486465266,14.8600770828059,3,426.341364522325,432.09819,-5.75682547767491,14.8600770828059,33.2440771447571,0.548411202351791,2.44099941676387
22,179,6,4.55,2.34335944009332,-59.4600715637207,31.4369379679362,25,2.30477687326762,0.0385825668256934,-74.3201486465266,14.8600770828059,3,426.341364522325,432.09819,-5.75682547767491,14.8600770828059,33.2440771447571,0.548411202351791,2.34335944009332
23,179,7,4.742,2.24571946342276,-61.9902877807617,25.8368822733561,24,2.38378128045601,-0.138061817033249,-74.3201486465266,12.3298608657649,3,423.811148305284,432.09819,-8.28704169471592,12.3298608657649,33.2440771447571,0.54515653594298,2.24571946342276
24,179,8,4.934,2.14807948675221,-61.9902877807617,26.3097928365072,23,2.4627856876444,-0.314706200892191,-74.3201486465266,12.3298608657649,3,423.811148305284,432.09819,-8.28704169471592,12.3298608657649,33.2440771447571,0.54515653594298,2.14807948675221
25,179,9,5.126,2.92919930011665,-63.2553939819336,28.7934462229411,31,2.54179009483279,0.38740920528386,-74.3201486465266,11.064754664593,3,422.546042104112,432.09819,-9.5521478958878,11.064754664593,33.2440771447571,0.543529205192034,2.92919930011665
26,179,10,5.318,2.83155932344609,-63.2553939819336,32.2267367045085,30,2.62079450202117,0.210764821424918,-74.3201486465266,11.064754664593,3,422.546042104112,432.09819,-9.5521478958878,11.064754664593,33.2440771447571,0.543529205192034,2.83155932344609
27,179,11,5.51,2.73391934677554,-63.2553939819336,32.7951354980469,29,2.69979890920956,0.0341204375659747,-74.3201486465266,11.064754664593,3,422.546042104112,432.09819,-9.5521478958878,11.064754664593,33.2440771447571,0.543529205192034,2.73391934677554
28,179,12,5.702,2.63627937010498,-65.7856140136719,30.9449672698975,28,2.77880331639795,-0.142523946292969,-74.3201486465266,8.53453463285473,3,420.015822072374,432.09819,-12.0823679276261,8.53453463285473,33.2440771447571,0.540274533876304,2.63627937010498
29,179,13,5.894,2.63627937010498,-65.7856140136719,27.1455669403076,28,2.85780772358634,-0.221528353481355,-74.3201486465266,8.53453463285473,3,420.015822072374,432.09819,-12.0823679276261,8.53453463285473,33.2440771447571,0.540274533876304,2.63627937010498
30,179,14,6.086,3.12447925345776,-65.7856140136719,27.8126405080159,33,2.93681213077473,0.187667122683031,-74.3201486465266,8.53453463285473,3,420.015822072374,432.09819,-12.0823679276261,8.53453463285473,33.2440771447571,0.540274533876304,3.12447925345776
31,179,15,6.278,3.0268392767872,-69.5809326171875,28.4299322764079,32,3.01581653796311,0.0110227388240882,-74.3201486465266,4.7392160293391,3,416.220503468858,432.09819,-15.8776865311417,4.7392160293391,33.2440771447571,0.535392541623466,3.0268392767872
32,179,16,6.47,2.92919930011665,-70.8460464477539,27.4634234110514,31,3.0948209451515,-0.165621645034854,-74.3201486465266,3.4741021987727,3,414.955389638292,432.09819,-17.1428003617081,3.4741021987727,33.2440771447571,0.533765201058682,2.92919930011665
33,180,1,7.09,3.61267913681053,-73.3762588500977,25.4266198476156,38,3.349939343364,0.262739793446529,-74.3201486465266,0.943889796428948,3,412.425177235948,432.09819,-19.6730127640519,0.943889796428948,33.2440771447571,0.53051053955679,3.61267913681053
34,180,2,7.282,3.61267913681053,-74.6413650512695,26.0904922485352,38,3.42894375055239,0.183735386258141,-74.3201486465266,0.321216404742927,3,411.160071034776,432.09819,-20.9381189652237,-0.321216404742927,33.2440771447571,0.528883208805844,3.61267913681053
35,180,3,7.474,3.51503916013998,-74.6413650512695,26.2076428731283,37,3.50794815774078,0.00709100239919858,-74.3201486465266,0.321216404742927,3,411.160071034776,432.09819,-20.9381189652237,-0.321216404742927,33.2440771447571,0.528883208805844,3.51503916013998
36,180,4,7.666,3.41739918346942,-75.9064712524414,25.347349802653,36,3.58695256492917,-0.169553381459745,-74.3201486465266,1.5863226059148,3,409.894964833604,432.09819,-22.2032251663956,-1.5863226059148,33.2440771447571,0.527255878054899,3.41739918346942
37,180,5,7.858,3.41739918346942,-75.9064712524414,24.0770670572917,36,3.66595697211755,-0.248557788648132,-74.3201486465266,1.5863226059148,3,409.894964833604,432.09819,-22.2032251663956,-1.5863226059148,33.2440771447571,0.527255878054899,3.41739918346942
38,180,6,8.05,4.00323904349275,-78.4366912841797,24.4325154622396,42,3.74496137930594,0.25827766418681,-74.3201486465266,4.11654263765308,3,407.364744801866,432.09819,-24.7334451981339,-4.11654263765308,33.2440771447571,0.524001206739168,4.00323904349275
39,180,7,8.242,4.00323904349275,-78.4366912841797,25.916810353597,42,3.82396578649433,0.179273256998423,-74.3201486465266,4.11654263765308,3,407.364744801866,432.09819,-24.7334451981339,-4.11654263765308,33.2440771447571,0.524001206739168,4.00323904349275
40,180,8,8.434,3.9055990668222,-77.1715850830078,26.0618928273519,41,3.90297019368272,0.00262887313947946,-74.3201486465266,2.85143643648121,3,408.629851003038,432.09819,-23.468338996962,-2.85143643648121,33.2440771447571,0.525628537490114,3.9055990668222
41,180,9,8.626,3.80795909015164,-78.4366912841797,25.6880594889323,40,3.9819746008711,-0.174015510719463,-74.3201486465266,4.11654263765308,3,407.364744801866,432.09819,-24.7334451981339,-4.11654263765308,33.2440771447571,0.524001206739168,3.80795909015164
42,180,10,8.818,3.71031911348109,-79.7017974853516,24.5002396901449,39,4.06097900805949,-0.350659894578406,-74.3201486465266,5.38164883882496,3,406.099638600694,432.09819,-25.9985513993058,-5.38164883882496,33.2440771447571,0.522373875988222,3.71031911348109
43,180,11,9.01,4.49143892684553,79.7017974853516,23.5166250864665,47,4.13998341524788,0.351455511597645,-74.3201486465266,7.91186589680376,2,403.569421542715,432.09819,-28.5287684572846,-7.91186589680376,33.2440771447571,0.519119208497697,4.49143892684553
44,180,12,9.202,4.39379895017497,-80.9669036865234,23.836404800415,46,4.21898782243627,0.174811127738703,-74.3201486465266,6.64675503999683,3,404.834532399522,432.09819,-27.2636576004776,-6.64675503999683,33.2440771447571,0.520746545237277,4.39379895017497
45,180,13,9.394,4.29615897350442,78.4366912841797,23.9559656778971,45,4.29799222962466,-0.00183325612023921,-74.3201486465266,9.17697209797564,2,402.304315341544,432.09819,-29.7938746584564,-9.17697209797564,33.2440771447571,0.517491877746751,4.29615897350442
46,180,14,9.586,4.10087902016331,43.0136680603027,19.224827448527,43,4.37699663681304,-0.276117616649737,-74.3201486465266,44.5999953218526,2,366.881292117667,432.09819,-65.2168978823334,-44.5999953218526,33.2440771447571,0.471926552930316,4.10087902016331
47,180,15,9.778,4.68671888018664,43.0136680603027,13.1219523747762,49,4.45600104400143,0.230717836185205,-74.3201486465266,44.5999953218526,2,366.881292117667,432.09819,-65.2168978823334,-44.5999953218526,33.2440771447571,0.471926552930316,4.68671888018664
48,180,16,9.97,4.19851899683386,21.5068340301514,8.22777779897054,44,4.53500545118982,-0.336486454355957,-74.3201486465266,66.106829352004,2,345.374458087515,432.09819,-86.7237319124848,-66.106829352004,33.2440771447571,0.444261893362342,4.19851899683386
