GlobalWindow,PhysicalFrame,WindowInFrame,Time_ms,Range_m,AliasedVelocity_mps,RelativeStrength_dB,RangeBin
2,87,2,0.282,3.0268392767872,75.9064712524414,7.03582445780436,32
3,87,3,0.474,4.10087902016331,-60.7251777648926,8.65158971150716,43
3,87,3,0.474,3.22211923012831,67.0507202148438,8.25804742177328,34
4,87,4,0.666,4.39379895017497,32.8928070068359,7.16530307133992,46
5,87,5,0.858,4.49143892684553,59.4600715637207,7.70855744679769,47
7,87,7,1.242,3.80795909015164,-21.5068340301514,9.82913080851237,40
8,87,8,1.434,3.80795909015164,-21.5068340301514,9.51089382171631,40
8,87,8,1.434,3.0268392767872,-44.2787780761719,7.08182859420776,32
11,87,11,2.01,1.9527995334111,-50.6043167114258,37.6720199584961,21
11,87,11,2.01,3.51503916013998,-64.5205001831055,28.9680627187093,37
12,87,12,2.202,2.24571946342276,31.6276969909668,30.1997057596842,24
12,87,12,2.202,3.41739918346942,-21.5068340301514,25.7051226298014,36
12,87,12,2.202,4.49143892684553,-55.6647491455078,11.1316817601522,47
12,87,12,2.202,1.36695967338777,36.6881294250488,8.78697999318441,15
13,87,13,2.394,2.63627937010498,53.1345329284668,28.1318105061849,28
13,87,13,2.394,3.41739918346942,-21.5068340301514,23.5927028656006,36
13,87,13,2.394,5.17491876353941,-21.5068340301514,15.0547847747803,54
13,87,13,2.394,4.58907890351608,-77.1715850830078,12.2964563369751,48
14,87,14,2.586,2.83155932344609,59.4600715637207,35.1248372395833,30
14,87,14,2.586,3.61267913681053,-21.5068340301514,27.7450326283773,38
14,87,14,2.586,5.27255874020996,-21.5068340301514,18.1866264343262,55
14,87,14,2.586,4.49143892684553,-70.8460464477539,14.8062686920166,47
15,87,15,2.778,3.0268392767872,51.8694229125977,28.0289840698242,32
15,87,15,2.778,3.80795909015164,-21.5068340301514,22.7574036916097,40
15,87,15,2.778,5.27255874020996,-21.5068340301514,12.7182076772054,55
16,87,16,2.97,3.12447925345776,73.3762588500977,27.6459019978841,33
16,87,16,2.97,5.27255874020996,-21.5068340301514,15.3732674916585,55
16,87,16,2.97,1.85515955674054,55.6647491455078,11.2440824508667,20
17,88,1,3.59,3.51503916013998,43.0136680603027,29.6131807963053,37
17,88,1,3.59,4.49143892684553,-64.5205001831055,16.1737893422445,47
17,88,1,3.59,5.17491876353941,-21.5068340301514,11.6057656606038,54
17,88,1,3.59,1.46459965005832,-41.7485618591309,10.1870333353678,16
18,88,2,3.782,3.71031911348109,43.0136680603027,30.9033400217692,39
18,88,2,3.782,1.75751958006999,60.7251777648926,21.0895665486654,19
