GlobalWindow,PhysicalFrame,WindowInFrame,Time_ms,Range_m,AliasedVelocity_mps,RelativeStrength_dB,RangeBin
1,134,1,0.09,2.24571946342276,-20.2417259216309,6.35283915201823,24
1,134,1,0.09,1.36695967338777,61.9902877807617,6.11249653498332,15
2,134,2,0.282,0.683479836693884,27.8323745727539,5.26943476994832,8
2,134,2,0.282,2.53863939343443,68.3158264160156,4.36942609151204,27
2,134,2,0.282,1.75751958006999,78.4366912841797,3.49805680910746,19
4,134,4,0.666,1.36695967338777,68.3158264160156,6.00629981358846,15
4,134,4,0.666,2.24571946342276,37.9532356262207,5.08658568064372,24
5,134,5,0.858,0.488199883352775,-20.2417259216309,5.16751845677694,6
5,134,5,0.858,1.0740397433761,-37.9532356262207,3.30655805269877,12
6,134,6,1.05,1.65987960339943,-25.3021583557129,6.03380664189657,18
6,134,6,1.05,2.53863939343443,-37.9532356262207,3.64844067891439,27
7,134,7,1.242,0.488199883352775,24.0370502471924,4.7810165087382,6
8,134,8,1.434,2.14807948675221,35.423023223877,4.24761931101481,23
8,134,8,1.434,2.53863939343443,-77.1715850830078,3.98046040534973,27
8,134,8,1.434,1.36695967338777,-20.2417259216309,3.55644981066386,15
9,134,9,1.626,1.85515955674054,20.2417259216309,3.79411713282267,20
9,134,9,1.626,1.26931969671721,-40.4834518432617,3.77905941009521,14
10,134,10,1.818,2.34335944009332,-48.0741004943848,5.41312964757283,25
10,134,10,1.818,0.683479836693884,49.3392066955566,3.96450392405192,8
11,134,11,2.01,2.34335944009332,45.5438842773438,6.76728328069051,25
11,134,11,2.01,1.17167972004666,20.2417259216309,3.18720642725627,13
12,134,12,2.202,0.878759790034994,-20.2417259216309,6.35153245925903,10
12,134,12,2.202,1.9527995334111,-61.9902877807617,4.18877649307251,21
13,134,13,2.394,2.14807948675221,-67.0507202148438,6.15330330530802,23
13,134,13,2.394,0.488199883352775,-78.4366912841797,4.93019421895345,6
13,134,13,2.394,1.46459965005832,-41.7485618591309,4.4405353864034,16
14,134,14,2.586,2.14807948675221,-22.7719421386719,5.981316725413,23
14,134,14,2.586,1.65987960339943,48.0741004943848,4.14071178436279,18
15,134,15,2.778,1.85515955674054,-43.0136680603027,5.5668478012085,20
15,134,15,2.778,1.26931969671721,29.0974826812744,5.09000794092814,14
16,134,16,2.97,1.17167972004666,-55.6647491455078,6.26552248001099,13
17,135,1,3.59,1.36695967338777,-26.5672664642334,4.13955926895142,15
17,135,1,3.59,2.44099941676387,34.1579132080078,3.72314278284709,26
18,135,2,3.782,2.34335944009332,-27.8323745727539,3.70439839363098,25
18,135,2,3.782,1.56223962672888,31.6276969909668,3.35931611061096,17
19,135,3,3.974,0.585839860023329,69.5809326171875,4.24695285161336,7
19,135,3,3.974,2.73391934677554,24.0370502471924,3.93749459584554,29
19,135,3,3.974,1.9527995334111,67.0507202148438,3.20858478546143,21
20,135,4,4.166,2.34335944009332,-49.3392066955566,5.8669163386027,25
20,135,4,4.166,0.878759790034994,-26.5672664642334,4.1924082438151,10
21,135,5,4.358,2.53863939343443,-77.1715850830078,7.45554033915202,27
21,135,5,4.358,1.26931969671721,27.8323745727539,6.3056918780009,14
21,135,5,4.358,1.85515955674054,78.4366912841797,5.79616181055705,20
22,135,6,4.55,2.05043951008165,-53.1345329284668,4.4423147837321,22
22,135,6,4.55,1.0740397433761,-58.1949653625488,3.33085529009501,12
23,135,7,4.742,1.0740397433761,-69.5809326171875,5.32882881164551,12
23,135,7,4.742,2.44099941676387,-20.2417259216309,4.69595718383789,26
23,135,7,4.742,1.75751958006999,-29.0974826812744,4.15000279744466,19
24,135,8,4.934,1.9527995334111,24.0370502471924,5.49837875366211,21
24,135,8,4.934,2.44099941676387,-20.2417259216309,5.17077732086182,26
25,135,9,5.126,2.24571946342276,-46.8089942932129,4.19311324755351,24
25,135,9,5.126,2.63627937010498,24.0370502471924,4.08629377683004,28
26,135,10,5.318,0.585839860023329,60.7251777648926,5.89835898081462,7
26,135,10,5.318,2.83155932344609,63.2553939819336,4.59054072697957,30
26,135,10,5.318,2.24571946342276,48.0741004943848,4.16046492258708,24
26,135,10,5.318,1.46459965005832,-43.0136680603027,3.49944162368774,16
27,135,11,5.51,0.683479836693884,40.4834518432617,3.83697636922201,8
28,135,12,5.702,2.14807948675221,59.4600715637207,3.64340941111247,23
28,135,12,5.702,1.46459965005832,-80.9669036865234,3.64175200462341,16
29,135,13,5.894,1.26931969671721,-34.1579132080078,6.22112894058228,14
29,135,13,5.894,0.488199883352775,67.0507202148438,4.43317556381226,6
30,135,14,6.086,1.9527995334111,-26.5672664642334,5.97307030359904,21
30,135,14,6.086,2.63627937010498,-73.3762588500977,4.42756811777751,28
30,135,14,6.086,1.0740397433761,39.2183456420898,3.91295560201009,12
30,135,14,6.086,0.39055990668222,-58.1949653625488,3.31011422475179,5
31,135,15,6.278,0.878759790034994,24.0370502471924,5.87999820709229,10
31,135,15,6.278,1.85515955674054,32.8928070068359,4.85844834645589,20
31,135,15,6.278,2.53863939343443,48.0741004943848,3.95783114433289,27
32,135,16,6.47,2.83155932344609,77.1715850830078,6.00523726145426,30
