GlobalWindow,PhysicalFrame,WindowInFrame,Time_ms,Range_m,AliasedVelocity_mps,RelativeStrength_dB,RangeBin,FittedRange_m,FitResidual_m,ExpectedAliasedVelocity_mps,CircularVelocityResidual_mps,AmbiguityNumber,UnwrappedVelocity_mps,MeasuredSpeed_mps,MeasuredSpeedResidual_mps,DistanceFitSpeedResidual_mps,GlobalUnwrapPathCost,RangeVelocityCouplingMagnitude_m,CorrectedRange_m
10,134,10,1.818,0.683479836693884,49.3392066955566,3.96450392405192,8,0.912213674419717,-0.228733837725833,59.0035102153502,9.66430351979352,2,373.20683075292,428.62203,-55.4151992470795,-9.66430351979352,116.205598000494,0.480063216498884,0.683479836693884
11,134,11,2.01,1.17167972004666,20.2417259216309,3.18720642725627,13,0.985724932200078,0.185954787846581,59.0035102153502,38.7617842937193,2,344.109349978995,428.62203,-84.5126800210053,-38.7617842937193,116.205598000494,0.442634560157936,1.17167972004666
12,134,12,2.202,0.878759790034994,-20.2417259216309,6.35153245925903,10,1.05923618998044,-0.180476399945445,59.0035102153502,79.245236136981,2,303.625898135733,428.62203,-124.996131864267,-79.245236136981,116.205598000494,0.390559907430799,0.878759790034994
14,134,14,2.586,1.65987960339943,48.0741004943848,4.14071178436279,18,1.20625870554116,0.453620897858272,59.0035102153502,10.9294097209654,2,371.941724551749,428.62203,-56.6803054482514,-10.9294097209654,116.205598000494,0.478435885747938,1.65987960339943
15,134,15,2.778,1.26931969671721,29.0974826812744,5.09000794092814,14,1.27976996332152,-0.0104502666043085,59.0035102153502,29.9060275340757,2,352.965106738638,428.62203,-75.6569232613617,-29.9060275340757,116.205598000494,0.454025892588775,1.26931969671721
17,135,1,3.59,1.36695967338777,-26.5672664642334,4.13955926895142,15,1.59066132435097,-0.223701650963197,59.0035102153502,76.3630353490984,2,297.30035759313,428.62203,-131.32167240687,-85.5707766795836,116.205598000494,0.382423241408771,1.36695967338777
18,135,2,3.782,1.56223962672888,31.6276969909668,3.35931611061096,17,1.66417258213133,-0.101932955402449,59.0035102153502,27.3758132243834,2,355.495321048331,428.62203,-73.1267089516693,-27.3758132243834,116.205598000494,0.457280556544126,1.56223962672888
19,135,3,3.974,1.9527995334111,67.0507202148438,3.20858478546143,21,1.73768383991169,0.21511569349941,59.0035102153502,8.04720999949359,2,390.918344272208,428.62203,-37.7036857277924,8.04720999949359,116.205598000494,0.502845881360561,1.9527995334111
21,135,5,4.358,1.85515955674054,78.4366912841797,5.79616181055705,20,1.88470635547241,-0.0295467987318672,59.0035102153502,19.4331810688295,2,402.304315341544,428.62203,-26.3177146584565,19.4331810688295,116.205598000494,0.517491877746751,1.85515955674054
23,135,7,4.742,1.75751958006999,-29.0974826812744,4.15000279744466,19,2.03172887103313,-0.274209290963144,59.0035102153502,73.8328191320574,3,456.703953404771,428.62203,28.0819234047714,73.8328191320574,116.205598000494,0.587467191897144,1.75751958006999
24,135,8,4.934,1.9527995334111,24.0370502471924,5.49837875366211,21,2.10524012881349,-0.152440595402396,59.0035102153502,34.9664599681578,2,347.904674304556,428.62203,-80.7173556954438,-34.9664599681578,116.205598000494,0.447516559771153,1.9527995334111
25,135,9,5.126,2.63627937010498,24.0370502471924,4.08629377683004,28,2.17875138659385,0.457527983511127,59.0035102153502,34.9664599681578,2,347.904674304556,428.62203,-80.7173556954438,-34.9664599681578,116.205598000494,0.447516559771153,2.63627937010498
26,135,10,5.318,2.24571946342276,48.0741004943848,4.16046492258708,24,2.25226264437422,-0.00654318095145356,59.0035102153502,10.9294097209654,2,371.941724551749,428.62203,-56.6803054482514,-10.9294097209654,116.205598000494,0.478435885747938,2.24571946342276
28,135,12,5.702,2.14807948675221,59.4600715637207,3.64340941111247,23,2.39928515993494,-0.251205673182731,59.0035102153502,0.456561348370542,2,383.327695621085,428.62203,-45.2943343789154,0.456561348370542,116.205598000494,0.493081882134128,2.14807948675221
30,135,14,6.086,2.63627937010498,-73.3762588500977,4.42756811777751,28,2.54630767549566,0.0899716946093219,59.0035102153502,29.5540429632341,3,412.425177235948,428.62203,-16.1968527640519,29.5540429632341,116.205598000494,0.53051053955679,2.63627937010498
31,135,15,6.278,2.53863939343443,48.0741004943848,3.95783114433289,27,2.61981893327602,-0.0811795398415942,59.0035102153502,10.9294097209654,2,371.941724551749,428.62203,-56.6803054482514,-10.9294097209654,116.205598000494,0.478435885747938,2.53863939343443
32,135,16,6.47,2.83155932344609,77.1715850830078,6.00523726145426,30,2.69333019105638,0.13822913238971,59.0035102153502,18.1680748676577,2,401.039209140372,428.62203,-27.5828208596283,18.1680748676577,116.205598000494,0.515864546995805,2.83155932344609
