GlobalWindow,PhysicalFrame,WindowInFrame,Time_ms,Range_m,AliasedVelocity_mps,RelativeStrength_dB,RangeBin,FittedRange_m,FitResidual_m,ExpectedAliasedVelocity_mps,CircularVelocityResidual_mps,AmbiguityNumber,UnwrappedVelocity_mps,MeasuredSpeed_mps,MeasuredSpeedResidual_mps,DistanceFitSpeedResidual_mps,GlobalUnwrapPathCost,RangeVelocityCouplingMagnitude_m,CorrectedRange_m
3,134,3,1.914,0.781119813364439,-26.5672664642334,27.1240832010905,9,0.710607454490145,0.0705123588742942,-47.9785166387749,21.4112501745415,3,459.234169621812,428.62203,30.6121396218124,21.4112501745415,16.1196179462267,0.590721858305955,0.781119813364439
4,134,4,2.682,1.0740397433761,51.8694229125977,36.6885808308919,12,1.04685545662565,0.027184286750455,-47.9785166387749,62.0858724773094,2,375.737046969962,428.62203,-52.8849830300385,-62.0858724773094,16.1196179462267,0.483317882907695,1.0740397433761
5,135,1,3.878,1.46459965005832,-75.9064712524414,36.2733777364095,16,1.57049166828459,-0.105892018226262,-47.9785166387749,27.9279546136665,3,409.894964833604,428.62203,-18.7270651663956,-27.9279546136665,16.1196179462267,0.527255878054899,1.46459965005832
6,135,2,4.646,1.75751958006999,-67.0507202148438,24.1907062530518,19,1.90673967042009,-0.149220090350101,-47.9785166387749,19.0722035760688,3,418.750715871202,428.62203,-9.87131412879796,-19.0722035760689,16.1196179462267,0.538647203125358,1.75751958006999
7,135,3,5.414,2.34335944009332,-61.9902877807617,23.1392955780029,25,2.24298767255559,0.100371767537724,-47.9785166387749,14.0117711419868,3,423.811148305284,428.62203,-4.81088169471593,-14.0117711419869,16.1196179462267,0.54515653594298,2.34335944009332
8,135,4,6.182,2.63627937010498,-80.9669036865234,27.9600137074788,28,2.5792356746911,0.0570436954138849,-47.9785166387749,32.9883870477485,3,404.834532399522,428.62203,-23.7874976004776,-32.9883870477486,16.1196179462267,0.520746545237277,2.63627937010498
